,count,Name
0,29,"Chadwick Prodromos, MD"
1,25,"Hamid Gourabi, PhD"
2,10,"Joshua M Hare, MD"
3,9,"Mahboob Rahman, MD"
4,7,"Jianwu Dai, Ph.D"
5,7,"Abdallah Awidi, MD"
6,7,"Amy Lightner, MD"
7,6,"Vikram Sengupta, MD"
8,6,"Joanne Kurtzberg, MD"
9,6,"Mike Royal, MD"
10,6,"Djamchid Lotfi, MD"
11,6,"Giuseppe Remuzzi, MD"
12,5,"Baoyong Yan, Doctor"
13,5,GSK Clinical Trials
14,5,"Qifa Liu, MD"
15,4,"Yves Beguin, MD, PhD"
16,4,"Steven A Rosenberg, M.D."
17,4,"Yang Xiao, MD"
18,4,"Pei-Yuan Lee, MD"
19,4,"Zhengping Liu, MD"
20,4,Zhou Fu
21,4,"CHIH-YUAN WANG, Doctor"
22,3,"Changxi Wang, M.D., Ph.D"
23,3,"Fu-Sheng Wang, Professor"
24,3,"Bing Liu, M.D."
25,3,"Chuanjian Lu, PhD"
26,3,Jie Shen
27,3,"chengyun zheng, Ph. D"
28,3,"Chungsu Kim, Ph.D"
29,3,Amanda Olson
30,3,"Lian Ru Gao, MD"
31,3,"Per-Ola Carlsson, MD, PhD"
32,3,"Sun Gun Chung, MD, PhD"
33,3,"Limin Rong, M.D."
34,3,"Jakub Tolar, MD, PhD"
35,3,"Jens Kastrup, MD DMSc"
36,3,"Abdalla Awidi, MD"
37,3,"LaTonya J Hickson, MD"
38,3,"Won-Soon Park, MD, PhD"
39,3,"Andreas Kerstan, Dr."
40,3,"Jianming Tan, professor"
41,2,"Derek W Guillory, MD."
42,2,Evanthia Galanis
43,2,"Igor Volotovski, Prof"
44,2,"Michael P. Zahalsky, M.D."
45,2,"Amanda L. Olson, MD"
46,2,"Marlies EJ Reinders, MD/PhD"
47,2,"Peter Nemtinov, MD"
48,2,"José Lamo-Espinosa, MD"
49,2,"Igor D Volotovski, Prof"
50,2,"Seung-Kyu Han, MD. Ph D."
51,2,"Craig McDonald, MD"
52,2,"Piotr Musiałek, MD, PhD"
53,2,"Igor D Volotovski, Dr"
54,2,KANGIL KIM
55,2,Michael C Stephens
56,2,"Jinhai Tang, M.D, PH.D"
57,2,"Fu-Sheng Wang, MD, PhD"
58,2,"Lauralyn McIntyre, MD"
59,2,"Ping J Chen, Professor"
60,2,"Roisin O'Cearbhaill, MD"
61,2,"Ernst R Von Schwarz, MD, PhD"
62,2,Pfizer CT.gov Call Center
63,2,"Gianluca Vadalà, MD, PhD"
64,2,Mahboob Rahman
65,2,"Joyce Macedo da Silva, MD"
66,2,"Steffen Heegaard, MD, DMSc"
67,2,Suk-kyun Yang
68,2,"Jianhao Lin, MD"
69,2,"Kilian Kelly, PhD"
70,2,"Enrique Gomez-Barrena, Prof"
71,2,Roger Brown
72,2,"Mohamad Bydon, MD"
73,2,Medical Responsible
74,2,"Rajiv Thakur, MD"
75,2,xiaobing FU
76,2,"Julia Barbado, MD, PhD"
77,2,"Robert Simari, MD"
78,2,"Arndt Rolfs, Prof. Dr."
79,2,"David F Stroncek, M.D."
80,2,"Charles S Cox, MD"
81,2,"Wolfgang Singer, MD"
82,2,"Jorge Paz-Rodriguez, MD"
83,2,"Fred Grossman, DO"
84,2,"Marek Postula, MD, PhD"
85,2,"Myungchul Lee, MD, PhD"
86,2,"Jeff Chou, MD"
87,2,"Wonsoon Park, MD, PhD"
88,2,"Charlotte Lynggaard, MD"
89,2,"Paulo Brofman, PhD"
90,2,"Hongmei Wang, Doctor"
91,2,"Lev Verkh, PhD"
92,2,"Peilai Liu, MD"
93,2,"Saud A Sadiq, MD, FAAN"
94,2,"K Segal, PhD"
95,2,"Thanh Cheng, MD"
96,2,Aaron J Krych
97,2,"Hong-chul Lim, MD, PhD"
98,2,"Wojciech Maksymowicz, MD, Prof."
99,2,"Fu-Sheng Wang, professor"
100,2,"Muna Qayed, MD"
101,2,"William Faubion, MD"
102,2,"Lung-Ji Chang, Ph.D"
103,2,"Xiaobing Fu, doctor"
104,2,"Andrew J Armstrong, MD"
105,2,"Emese Zsiros, MD"
106,2,"Hu Chen, M.D., Ph.D."
107,2,"Jian Chen, PhD"
108,2,Qifa Liu
109,2,"Arnaud Bourdin, MD, PhD"
110,2,"Qifa Liu, MD."
111,2,"Yangang Wang, MD Phd"
112,2,"mohammad taghi peivandi, MD"
113,2,xiaobing Fu
114,2,"Derek W Guillory, MD"
115,2,"Brigitte C Widemann, M.D."
116,2,"Steven Levy, MD"
117,2,"Wook Chun, PhD"
118,2,"Benjamin E Reubinoff, MD PhD"
119,2,"Ricardo Ribeiro-dos-Santos, PhD"
120,2,"Arash Khojasteh, DMD, OMFS"
121,2,"KANGIL KIM, M.D., Ph.D"
122,2,Clinical Trial Management
123,2,"Zhongmin Liu, Doctor"
124,2,"Kimberly Kasow, DO"
125,2,"JianWu Dai, Ph.D"
126,2,"Antonis Konstantinidis, Professor"
127,2,"Rui Henrique, PhD"
128,2,"David Hong, MD"
129,2,"Ken Borow, MD"
130,2,"Jens Kastrup, MD Professor"
131,2,"Jianwu Dai, Ph.D."
132,2,"Michael P Murphy, MD"
133,1,"Laurie S. Conklin, M.D."
134,1,"Alan D. Marmorstein, Ph.D."
135,1,"Mohamad MOHTY, PhD"
136,1,"Saule Abseitova, MD, Prof."
137,1,"Wael F Nassar, MD"
138,1,"Hadas Lemberg, PhD"
139,1,"Jesús JV Vaquero Crespo, M.D."
140,1,"David Kerman, MD"
141,1,"Zaryi Simavonyan, MD"
142,1,"Dr. Arun B Bal, M.B.B.S.M.S."
143,1,"I HM Borel Rinkes, MD, PhD"
144,1,"Chunde Bao, MD"
145,1,"Abdel-Wahab El-Okby, MD"
146,1,"Clara I. Rodríguez, Ph. D."
147,1,K Sreekumaran Nair
148,1,"Andrew Cowan, MD"
149,1,"Ricardo R dos Santos, MD, PhD"
150,1,"Ju Le Tan, MBBS"
151,1,"Dalong Zhu, MD.PhD."
152,1,"Leland Metheny, MD"
153,1,"Michael Eddleston, MA PhD FRCPEdin"
154,1,"Won Soon Park, M.D. Ph.D"
155,1,"Valery Savchenko, Prof."
156,1,"Stephen C Textor, M.D."
157,1,"Fu-Dong Shi, MD,PhD"
158,1,"Sonia Franco, M.D."
159,1,"Rajeev Muni, MD"
160,1,"Gang Chen, Professor"
161,1,"Mark S. Freedman, MSc MD FRCPC"
162,1,"Maurice HV Strickland, MD"
163,1,"Fernando Granell, MD, PhD"
164,1,"Yang Yang, MD"
165,1,"David Erasmus, MD"
166,1,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)"
167,1,"David Ashley, MBBS, FRACP, PhD"
168,1,"Xiaofan Zhu, MD"
169,1,Karl-Henrik Grinnemo
170,1,"dominique farges, MDPHD"
171,1,"Hyun Young Kim, MD.,PhD."
172,1,"Grigory Volozhin A Volozhin, MD, PhD"
173,1,"Dr. Ashok A Mahashur, M.B.B.S.M.D."
174,1,"Frits Van Rhee, MD, Ph.D"
175,1,"Moises Zebede, MD"
176,1,"Rachel C. Brennan, MD"
177,1,"Boye L Jensen, dr.med., phd"
178,1,"Keiya Ozawa, MD, PhD"
179,1,"Malte von Bonin, MD"
180,1,"Cristina Ramo, PhD"
181,1,"Paulo RC Souza, M.D"
182,1,"Murat Kantarcioglu, M.D."
183,1,"Joan Carles Monllau, MD, PhD"
184,1,"Parvez Ahmed, FCPS, MCPS"
185,1,"Alessandro Rambaldi, MD"
186,1,"Andreas Kerstan, PD Dr.med."
187,1,"Gabriel Olveira Fuster, PhD"
188,1,"Taimour M Khalifa, MD Professor"
189,1,Yang Yang
190,1,"Andrew Armstrong, MD"
191,1,Roger Tun
192,1,"Daniel Chambers, MBBS MD"
193,1,"Merit Cudkowicz, MD"
194,1,"Marilyn K. Glassberg, MD"
195,1,"Susan Shur-Fen Gau, MD, PhD"
196,1,"Gary Steinberg, MD"
197,1,"Jérôme SURMENIAN, MD"
198,1,"Aditya K Aggarwal, MS,DNB,DO"
199,1,"Gerardo Castrellon, MD"
200,1,"Asode A Shetty, MD, PhD, MCh, FRCS"
201,1,"Samuel Denmeade, MD"
202,1,"Tommy S. de Windt, MD"
203,1,"Marcelo F Jiménez López, Ph.D"
204,1,"Henrik-Tobias Arkenau, MD,PhD"
205,1,"Fermín Sánchez-Guijo Martín, Ph.D"
206,1,"Roger Cohen, MD"
207,1,"keivan basiri, MD"
208,1,"Sang Bum Hong, M.D."
209,1,"Mattabhorn Phornphutkul, M.D, Ph.D"
210,1,"Teresa Caballero, Hematologist"
211,1,"hala Gabr, M.D."
212,1,"Rosandra N Kaplan, M.D."
213,1,"Mohit Khera, MD"
214,1,"Carl Schulman, MD, PhD"
215,1,"Alper Tunga Özdemir, PhD"
216,1,"Michael A Matthay, MD"
217,1,"Robert Maki, MD, PhD"
218,1,Glen Doherty
219,1,"Dennis G McGonagle, MB BcH BAO"
220,1,"Minsik Kim, M.D."
221,1,"Andrew Goldberg, MBBS MD FRCSI FRCS(Tr&Orth)"
