,count,Start Date
0,20,January 2013
1,17,January 2022
2,16,February 2022
3,15,January 2016
4,13,January 2015
5,13,September 2014
6,12,March 2012
7,11,December 2021
8,11,October 2021
9,11,October 2010
10,11,June 2015
11,11,January 2014
12,11,January 2017
13,11,November 2015
14,10,July 2014
15,10,October 2015
16,10,May 2015
17,10,January 2012
18,10,September 2015
19,10,April 2013
20,10,March 2014
21,10,October 2013
22,9,"October 1, 2018"
23,9,December 2012
24,9,April 2012
25,9,July 2013
26,9,November 2012
27,9,June 2010
28,8,"July 1, 2020"
29,8,June 2012
30,8,December 2014
31,8,March 2013
32,8,July 2015
33,8,March 2015
34,8,May 2014
35,8,February 2015
36,8,"October 1, 2020"
37,8,"December 1, 2021"
38,8,January 2010
39,8,September 2009
40,7,October 2016
41,7,September 2021
42,7,July 2012
43,7,"August 1, 2020"
44,7,April 2009
45,7,October 2014
46,7,February 2011
47,7,"January 1, 2020"
48,7,May 2016
49,7,February 2013
50,7,October 2011
51,7,May 2012
52,7,"January 1, 2018"
53,7,April 2014
54,7,"January 1, 2022"
55,7,August 2016
56,6,March 2016
57,6,December 2013
58,6,March 2009
59,6,August 2013
60,6,March 2011
61,6,July 2010
62,6,October 2012
63,6,August 2014
64,6,April 2015
65,6,May 2013
66,6,June 2016
67,6,"June 1, 2020"
68,6,"July 1, 2019"
69,6,January 2011
70,6,November 2016
71,6,December 2016
72,5,February 2014
73,5,October 2009
74,5,April 2016
75,5,July 2016
76,5,"March 1, 2019"
77,5,September 2016
78,5,August 2009
79,5,December 2015
80,5,"June 1, 2018"
81,5,"December 1, 2019"
82,5,September 2010
83,5,February 2012
84,5,December 2011
85,5,August 2008
86,5,"July 1, 2018"
87,5,November 2008
88,5,"August 1, 2017"
89,5,November 2011
90,5,"May 1, 2020"
91,5,"March 1, 2022"
92,5,January 2009
93,5,"September 1, 2020"
94,4,August 2015
95,4,December 2010
96,4,September 2013
97,4,"November 1, 2020"
98,4,December 2019
99,4,February 2009
100,4,"October 1, 2019"
101,4,"April 1, 2019"
102,4,April 2011
103,4,"April 1, 2020"
104,4,"January 1, 2021"
105,4,"July 1, 2021"
106,4,May 2008
107,4,January 2008
108,4,"November 1, 2017"
109,4,February 2016
110,4,September 2011
111,4,"August 1, 2021"
112,4,August 2010
113,3,"May 15, 2020"
