,count,Interventions
0,27,Biological: AlloRx
1,15,Biological: HB-adMSCs
2,13,Biological: Mesenchymal Stem Cells
3,10,Biological: mesenchymal stem cells
4,7,Biological: MSC
5,7,Biological: Autologous Mesenchymal Stem Cells
6,7,Biological: Mesenchymal Stromal Cells
7,6,Biological: Human umbilical cord mesenchymal stem cells
8,6,Procedure: Autologous Adipose Tissue derived MSCs Transplantation
9,6,Biological: Mesenchymal stem cells
10,5,Biological: mesenchymal stem cell
11,5,Drug: MSC-AFP
12,5,Biological: Autologous mesenchymal stem cells
13,5,Biological: MSCs
14,4,Biological: umbilical cord mesenchymal stem cells
15,4,Biological: Mesenchymal stromal cells
16,4,Biological: ALLO-ASC-DFU
17,4,Biological: Wharton Jelly Mesenchymal stem cells
18,4,Biological: Umbilical cord mesenchymal stem cells
19,4,Biological: autologous mesenchymal stem cells
20,3,Biological: COVI-MSC|Drug: Placebo
21,3,Biological: Mesenchymal stem cell
22,3,Biological: bone marrow derived mesenchymal stem cells
23,3,Biological: GL-ONC1
24,3,Biological: human umbilical cord mesenchymal stem cells
25,3,Biological: UC-MSCs
26,3,Biological: Intravenous injection
27,3,Biological: UMC119-06
28,3,Biological: Human Umbilical Cord Blood Derived-Mesenchymal Stem Cells
29,2,Procedure: Allogenic bone marrow stem cells transplantation|Drug: Conserved therapy
30,2,Procedure: Lipogems
31,2,Biological: Blood sample
32,2,Drug: Autologous Adipose-Derived Mesenchymal Stromal Cells
33,2,Biological: JOINTSTEM|Drug: Saline
34,2,Other: Exosomes
35,2,Biological: cell injection
36,2,Biological: Mesenchymal Stem Cells (MSC)
37,2,Drug: Filgrastim
38,2,Drug: Adipose-Derived Mesenchymal Stem Cells
39,2,Biological: UCMSC group
40,2,Biological: Placental Matrix-Derived Mesenchymal Stem Cells (PMD-MSCs)
41,2,Biological: autologous mesenchymal stromal cell
42,2,Biological: Mesenchymal stem cell|Biological: Placebo
43,2,Other: Biological: Cell-based therapy
44,2,Biological: Mesenchymal Stromal Cells|Other: Placebo
45,2,Biological: Allogeneic Mesenchymal Stem Cells (AlloMSC)
46,2,Drug: Stem Cell Product
47,2,Biological: Mesenchymal stem cells|Biological: Non-mesenchymal stem cells
48,2,Biological: Autologous adipose-derived mesenchymal stem cells|Other: Standard treatment according to the Clinical protocols
49,2,Biological: UCMSC group|Other: Control group(Normal saline)
50,2,Biological: Human Umbilical Cord Derived MSC
51,2,Biological: XCEL-MT-OSTEO-ALPHA|Procedure: Standard treatment
52,2,Drug: Remestemcel-L|Other: Placebo
53,2,Biological: Autologous mesenchymal cells transplantation
54,2,Biological: Human umbilical cord blood-derived mesenchymal stem cells
55,2,Biological: Allogeneic Human Umbilical Cord Tissue-Derived Mesenchymal Stem Cells|Other: Liberation therapy
56,2,Drug: Mesenchymal Stem Cells|Other: Placebo
57,2,Drug: Mesenchymal stem cells|Other: Placebo
58,2,Drug: Mesenchymal Stem Cell
59,2,Drug: EXO 1 inhalation|Drug: EXO 2 inhalation|Drug: Placebo inhalation
60,2,Procedure: Lumbar Puncture
61,2,Biological: PLX-PAD
62,2,Biological: Mesenchymal stromal cells|Other: Placebo
63,2,Other: conventional plus UC-MSC treatment|Other: Conventional plus placebo treatment
64,2,Biological: BOOST cells
65,2,Biological: Longeveron Mesenchymal Stem Cells (LMSCs)|Other: Placebo
66,2,Procedure: mesenchymal stem cell transplantation or placebo infusion via peripheral vein
67,2,Biological: Ex- vivo cultured adult allogeneic MSCs|Biological: Plasmalyte-A
68,2,Drug: Allo-hMSCs|Drug: Placebo
69,2,Biological: NurOwn (MSC-NTF cells)
70,2,Other: Skin biopsy
71,2,Procedure: UC-MSCs therapy
72,2,Biological: mesenchymal stem cells|Other: standard treatment
73,2,Other: stem cells
74,2,Biological: SMUP-IA-01(low-dose)|Biological: SMUP-IA-01(mid-dose)|Biological: SMUP-IA-01(high-dose)
75,2,Biological: HB-adMSC
76,2,Biological: Umbilical Cord Mesenchymal Stem Cells|Biological: saline
77,2,Biological: Mesenchymal Stem Cell
78,2,Biological: UC-MSCs|Other: Placebo
79,2,Drug: CardioCell|Drug: Placebos
80,2,Biological: Autologous BM MSC
81,2,Biological: Trophic factors from umbilical cord mesenchymal stem cells
82,2,Biological: hCT-MSC infusion
83,2,Biological: Stem cells
84,2,Biological: PBSC|Biological: MSCs
85,2,Biological: Umbilical Cord Mesenchymal Stem Cells
86,2,Biological: Stem Cell Transplantation
87,2,Biological: Stem Cells
88,2,Biological: UC-MSCs|Biological: Saline containing 1% Human serum albumin（solution without UC-MSCs）
89,2,Biological: CAP-1002|Drug: Placebo
90,2,Biological: autologous adipose derived mesenchymal stem cells
91,2,Biological: ALLO-ASC-DFU|Other: Standard therapy
92,2,Biological: anti-CD19-CAR vector-transduced T cells
93,2,Biological: human umbilical cord blood derived mesenchymal stem cells|Other: Normal saline 2mL
94,2,Drug: ExoFlo
95,2,Drug: EMB-01
96,2,Biological: SCM-AGH|Other: Placebo
97,2,Biological: hMSCs
98,2,Procedure: Mesenchymal stem cell infusion
99,2,Biological: Allogeneic Mesenchymal Stem Cells
100,2,Biological: Mesenchyme Stem Cells low-dose group|Biological: Mesenchyme Stem Cells high-dose group|Biological: Placebo
101,2,Diagnostic Test: Liquid biopsy
102,2,Biological: Mesenchymal stromal cell therapy
103,2,Drug: Mesenchymal stem cells|Drug: Placebo
104,2,Drug: Prochymal®|Drug: Placebo
105,1,Biological: Mesenchymal stem cell 0.5|Biological: Mesenchymal stem cell 1.0
106,1,Drug: Mesenchymal stem cell|Drug: Isotonic NaCl
107,1,Biological: Experimental|Biological: Sham comparator
108,1,Biological: Placebo Infusion|Biological: Autologous BMMNC Infusion
109,1,Procedure: Fat graft enriched with ex vivo expanded stem cells|Procedure: Fat graft not enriched with ex vivo expanded stem cells
110,1,Biological: Allo-MSCs|Biological: Placebo
111,1,Procedure: Intravitreal transplantation of mesenchymal stem cell|Biological: Culture and isolation of autologous bone-marrow mesenchymal stem cells
112,1,Biological: BMMSCs
113,1,Genetic: MSC-INFβ|Behavioral: Questionnaires
114,1,Drug: Autologous hMSCs|Drug: Autologous Human C-Kit CSCs II|Drug: Placebo|Device: Biosense Webster MyoStar NOGA Injection Catheter System
115,1,Biological: Mesenchymal Stem Cells (MSC)|Biological: c-kit+ cells|Biological: Placebo (Plasmalyte A)
116,1,Drug: MV-NIS
117,1,Procedure: Production of Genetically-modified T cells|Drug: Cyclophosphamide|Device: IP Catheter Insertion|Genetic: Infusion of 4H11-28z/fIL-12/EGFRt+ Genetically-modified T cells|Drug: Fludarabine
118,1,Drug: XCEL-MC-ALPHA|Drug: Placebo
119,1,Biological: 1 x 10^6 MSCs|Biological: 10 x 10^6 MSCs|Biological: 50 x 10^6 MSCs
120,1,Other: SVFderived MSC transplantations|Drug: Basiliximab
121,1,Procedure: SVF-MSC induction|Drug: Basiliximab induction
122,1,Biological: anti-CD133-CAR vector-transduced T cells
123,1,Biological: Mesenchymal stem cell augmentation in rotator cuff repair|Procedure: Standard arthroscopic rotator cuff repair
124,1,Drug: Biological: Umbilical Cord Based Allogenic Mesenchymal Stem Cell
125,1,Other: HC-SVT-1001(initial protocol); HC-SVT-1002 (protocol amendment)
126,1,Biological: Intramuscular injection
127,1,Biological: human umbilical cord mesenchymal stem cells (hUC-MSCs)
128,1,Drug: Cellgram-CLI
129,1,Biological: Autologous Adipose Tissue Derived MSCs Transplantation
130,1,Biological: Mesenchymal cell therapy
131,1,Procedure: Oral mucosa biopsy|Procedure: Sinus lift with implantation of tissue engineered construction|Device: Dental implant
132,1,Other: Removal of tissue post-mortem
133,1,"Biological: Stem Cells,Mesenchymal|Procedure: surgery (TVT)"
134,1,Other: Skin Biopsy|Other: Blood Draw
135,1,Biological: MSCs|Drug: AZM|Drug: Glucocorticoid
136,1,Drug: cyclophosphamide|Drug: fludarabine phosphate|Radiation: total-body irradiation|Drug: cyclosporine|Drug: mycophenolate mofetil|Procedure: umbilical cord blood transplantation|Procedure: mesenchymal stem cell transplantation
137,1,Biological: INJECTION OF ALLOGENEIC MESENCHYMAL STEM CELLS
138,1,Drug: AZD6094
139,1,Drug: Cyclophosphamide or Bendamustine|Genetic: Dose Level -1|Genetic: Dose Level 1|Genetic: Dose Level 2|Genetic: Dose Level 3
140,1,Other: human bone marrow MSC
141,1,Biological: Autologous Stromal Vascular Fraction (SVF)|Biological: Autologous Adipose Derived MSCs (ADMSCs)|Other: Control
142,1,Biological: Autologous adipose derived mesenchymal cells
143,1,Biological: HUCMSC injection|Biological: collagen scaffolds/HUCMSC injection
144,1,Biological: Autologous Mesenchymal Bone Marrow Cell
145,1,Biological: MSC exosomes.
146,1,Biological: Mesenchymal stem cell injection|Biological: Placebo
147,1,Biological: MSC construct for Osteonecrosis
148,1,Biological: Autologous Stromal Vascular Fraction (SVF)|Biological: Autologous Adipose Derieved MSCs|Other: Control
149,1,Biological: Fucosylated MSC for Osteoporosis
150,1,Other: plasma-derived exosomes
151,1,Procedure: Autologous BMSCs|Drug: bone marrow-derived mesenchymal stem cells
152,1,Procedure: Peripheral blood stem cell mobilisation and collection|Drug: High-dose chemotherapy|Drug: Bone marrow derived allogeneic MMSCs infusion|Procedure: Autologous peripheral blood stem cells infusion
153,1,Genetic: Intravenous stem cell transplantation
