,count,Outcome Measures
0,14,Safety (adverse events)
1,5,Number of cured patients|Number of patients with treatment-related adverse events
2,4,Safety|Efficacy
3,3,Treatment related adverse events|Complete clinical healing|Partial healing|Lack of response|Worsening disease
4,3,Number of Participants with Adverse Events as a Measure of Safety and Tolerability
5,3,Area of diabetic foot ulcers|Improvement of transcutaneous oxygen partial pressure (TcPO2)|Improvement of microvascular cutaneous reactivity by laser Doppler perfusion monitoring (LDPM)|Pain (Visual-Analog Scale)|Walking distance (treadmill) if possible
6,3,Number of participants with treatment-related adverse events (safety and toxicity).|Number of participants with response to the treatment regarding potential cessation of drainage from their fistula.
7,3,Changes in American Spinal Injury Association (ASIA) Score Scale|Changes in International Association of Neural Restoration Spinal Cord Injury Functional Rating Scale (IANR-SCIRFS)|Changes in electromyogram test|Changes in residual urine
8,2,Proportion of patients with clinical improvement in EDSS score compared to baseline|Proportion of patients with a change in either gadolinium enhancing or new T2-weighted lesions on brain MRI|Proportion of patients with reduction in T2 lesion volume on brain MRI|Proportion of patients with reduction in brain volume on MRI|Proportion of patients with clinical improvement in MSIS score compared to baseline|Proportion of patients with clinical improvement in MSFC score compared to baseline|Proportion of patients with a change in mobility and leg function as measured by the 25 foot walking test|Proportion of patients with a change in upper extremity function as measured by the Nine Hole Peg Test|Proportion of patients with a change in cognitive function as measured by the Paced Auditory Serial Addition Test (PASAT)|Proportion of patients with reduced number of relapses or freedom from progression of disease
9,2,amount of regenerated bone
10,2,Unexplained local and systemic symptoms or death
11,2,Safety (adverse events)|Efficacy: American Spinal Injury Association Impairment Scale (ASIA)
12,2,Safety (adverse events)|Efficacy: Gross Motor Function Measure (GMFM)
13,2,Adverse Events
14,2,number of patients cured
15,2,Peak Systolic Velocity without trimix (cm/s)|End Diastolic Velocity without trimix (cm/s)
16,2,Changes in the Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) between patients before and after stem cell transplantation.
17,2,Physical function change|Change in pain density|Cartilage repair|Change in MOS item short from health survey(SF-36)|Change in Lequesne Index|Change in knee society score (KSS)
18,2,Safety and tolerability as measured by incidence of IP-related serious adverse events
19,2,Pain relief
20,2,Frequency of Adverse Events|Relative Wound Area Regression of 40% or More at 6 Week
21,2,"hematopoietic recovery|infections, primary underlying disease relapse and any toxic side effects of MSCs treatment"
22,2,wound healing rate
23,2,Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Vancouver Burn Scar Scale
