"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04700631","Extracellular Vesicles as Biomarkers for Chronic Renal Failure","VE-IRC","Recruiting","No Results Available","Chronic Renal Failure|Urinary Extracellular Vesicle","Diagnostic Test: urinary extracellular vesicle concentration|Diagnostic Test: blood sample","variation of urinary extracellular vesicle concentration between both groups","Centre Hospitalier Universitaire, Amiens","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","PI2020_843_0104","January 1, 2021","December 2021","December 2021","January 8, 2021",,"July 21, 2021","CHU Amiens, Amiens, France",,"https://ClinicalTrials.gov/show/NCT04700631"
2,"NCT05127122","Bone Marrow Mesenchymal Stem Cell Derived Extracellular Vesicles Infusion Treatment for ARDS","EXIT-ARDS","Not yet recruiting","No Results Available","ARDS, Human","Drug: Bone Marrow Mesenchymal Stem Cell Derived Extracellular Vesicles|Other: Saline","The incidence of serious adverse events.|Number to patients with All-Cause Mortality at 28 days|Ventilator-free days at 28days|Change in partial pressure of arterial oxygen to fraction of inspired oxygen (PaO2/FiO2) ratio from pre-infusion baseline(Day 0)to Day 7.PaO2 may be calculated from arterial blood gas (ABG)or imputed from the SpO2daily.","Direct Biologics, LLC","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1|Phase 2","81","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","DB-EF-EXITARDS-0003","December 2021","August 2022","August 2022","November 19, 2021",,"December 6, 2021",,,"https://ClinicalTrials.gov/show/NCT05127122"
3,"NCT04281901","Efficacy of Platelet- and Extracellular Vesicle-rich Plasma in Chronic Postsurgical Temporal Bone Inflammations","PvRP-ear","Completed","Has Results","Otitis Media Chronic|Temporal Bone","Drug: Platelet- and extracellular vesicle-rich plasma|Drug: Standard conservative treatment","Change in Inflammation Surface Area.|Change in Chronic Otitis Media Questionnaire 12 Score|Bacterial Presence","University Medical Centre Ljubljana|University of Ljubljana|University of Ljubljana, Faculty of Medicine","All","18 Years and older   (Adult, Older Adult)","Not Applicable","25","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","0120-146/2019/5","March 20, 2019","April 15, 2020","October 14, 2020","February 24, 2020","August 13, 2020","August 3, 2021","University Medical Centre Ljubljana, Ljubljana, Slovenia","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/01/NCT04281901/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/01/NCT04281901/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04281901"
4,"NCT05130983","A Phase I Study of ExoFlo, an ex Vivo Culture-expanded Adult Allogeneic Bone Marrow Mesenchymal Stem Cell Derived Extracellular Vesicle Isolate Product, for the Treatment of Medically Refractory Crohn's Disease",,"Not yet recruiting","No Results Available","Crohn Disease|IBD - Irritable Bowel Disease","Drug: Bone Marrow MSC Derived Extracellular Vesicle Isolate","• To evaluate the feasibility of intravenous ExoFlo in subjects with moderately to severely active Crohn's disease who have failed or are intolerant to one or more monoclonal antibodies.|monoclonal antibodies. • To evaluate the safety of intravenous ExoFlo in subjects with moderately to severely active Crohn's disease who have failed or are intolerant to one or more monoclonal antibodies.|• To evaluate the efficacy of intravenous ExoFlo in inducing clinical remission in subjects with moderately to severely active Crohn's disease who have failed or are intolerant to one or more monoclonal antibodies.|• To evaluate the efficacy of intravenous ExoFlo in inducing clinical response in subjects with moderately to severely active Crohn's disease who have failed or are intolerant to one or more monoclonal antibodies.|• To evaluate the efficacy of intravenous ExoFlo in improving disease-specific health-related quality of life.|• To evaluate the pharmacokinetics and pharmacodynamics of ExoFlo therapy, including changes in C-reactive protein (CRP), fecal calprotectin, fecal lactoferrin, and other pharmacodynamic biomarkers.","Direct Biologics, LLC","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","10","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DB-EF-CROHNS-0004","March 1, 2022","January 1, 2024","March 1, 2024","November 23, 2021",,"January 20, 2022",,,"https://ClinicalTrials.gov/show/NCT05130983"
5,"NCT04761562","Use of Autologous Plasma Rich in Platelets and Extracellular Vesicles in the Surgical Treatment of Chronic Middle Ear Infections",,"Recruiting","No Results Available","Otitis Media Chronic|Tympanic Membrane Perforation","Drug: Platelet- and extracellular vesicle-rich plasma|Procedure: Control group","Change of tympanic membrane perforation size|Change in Chronic Otitis Media Questionnaire 12 score|Change in hearing threshold level","University Medical Centre Ljubljana|University of Ljubljana","All","Child, Adult, Older Adult","Phase 2|Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","PVRPTY2021","February 14, 2021","September 30, 2023","September 30, 2023","February 21, 2021",,"February 21, 2021","University Medical Centre Ljubljana, Ljubljana, Slovenia",,"https://ClinicalTrials.gov/show/NCT04761562"
6,"NCT04657458","Expanded Access Protocol on Bone Marrow Mesenchymal Stem Cell Derived Extracellular Vesicle Infusion Treatment for Patients With COVID-19 Associated ARDS",,"Available","No Results Available","Covid19|ARDS|Hypoxia|Cytokine Storm","Biological: Bone Marrow Mesenchymal Stem Cell Derived Extracellular Vesicles Infusion Treatment",,"Direct Biologics, LLC","All","18 Years and older   (Adult, Older Adult)",,,"Industry","Expanded Access:Intermediate-size Population",,"DB-EAP-001",,,,"December 8, 2020",,"July 12, 2021",,,"https://ClinicalTrials.gov/show/NCT04657458"
7,"NCT04493242","Extracellular Vesicle Infusion Treatment for COVID-19 Associated ARDS","EXIT-COVID19","Completed","No Results Available","Covid19|ARDS|Pneumonia, Viral","Biological: DB-001|Other: Intravenous normal saline","7 Day Change in Partial Pressure of Arterial Oxygen to Fraction of Inspired Oxygen Ratio|Time to Recovery|Incidence of Serious Adverse Events (SAE)|Number of Patients with All-cause Mortality","Direct Biologics, LLC","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","DB-EF-PHASEII-001","September 24, 2020","May 1, 2021","May 22, 2021","July 30, 2020",,"January 14, 2022","Helen Keller Hospital, Sheffield, Alabama, United States|St. Joseph Hospital Heritage, Fullerton, California, United States|Donald Guthrie Foundation/ Robert Packer Hospital, Sayre, Pennsylvania, United States|Covenant Health, Lubbock, Texas, United States|PRX Research, Mesquite, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04493242"
8,"NCT05078385","Safety of Mesenchymal Stem Cell Extracellular Vesicles (BM-MSC-EVs) for the Treatment of Burn Wounds",,"Not yet recruiting","No Results Available","Burns","Drug: AGLE-102","Primary Objective|Secondary Objective","Aegle Therapeutics|Congressionally Directed Medical Research Programs","All","18 Years and older   (Adult, Older Adult)","Phase 1","10","Industry|U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AGLE-102-102","July 2022","April 2024","July 2024","October 14, 2021",,"October 14, 2021",,,"https://ClinicalTrials.gov/show/NCT05078385"
9,"NCT04652531","Autologous Serum-derived EV for Venous Trophic Lesions Not Responsive to Conventional Treatments","SER-VES-HEAL","Recruiting","No Results Available","Ulcer Venous","Other: Autologous extracellular vesicles from serum","Changes in the ulcer area from baseline to eight weeks|Pain change","University of Turin, Italy","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","CS2/1095/0090491","September 18, 2020","October 8, 2021","October 31, 2022","December 3, 2020",,"December 7, 2020","AOU San Giovanni Battista, Turin, Italy",,"https://ClinicalTrials.gov/show/NCT04652531"
10,"NCT03857841","A Safety Study of IV Stem Cell-derived Extracellular Vesicles (UNEX-42) in Preterm Neonates at High Risk for BPD",,"Terminated","Has Results","Bronchopulmonary Dysplasia","Biological: UNEX-42|Biological: Phosphate-buffered saline","Number of Subjects With Treatment-emergent Adverse Events During the Post-treatment Phase (Safety and Tolerability)","United Therapeutics","All","up to 14 Days   (Child)","Phase 1","3","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","UNX-BP-101","October 9, 2019","May 20, 2021","May 20, 2021","February 28, 2019","October 12, 2021","October 12, 2021","University of Colorado Hospital, Aurora, Colorado, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Children's Mercy Hospital, Kansas City, Missouri, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03857841/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03857841/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03857841"
