"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03384433","Allogenic Mesenchymal Stem Cell Derived Exosome in Patients With Acute Ischemic Stroke",,"Recruiting","No Results Available","Cerebrovascular Disorders","Biological: exosome","Incidence of Treatment-Emergent Adverse Events|measurement of Modified Ranking Scale","Isfahan University of Medical Sciences|Tarbiat Modarres University","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","med shahid beheshti university","April 17, 2019","June 17, 2021","December 17, 2021","December 27, 2017",,"January 25, 2021","Shahid Beheshti University of Medical Sciences, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT03384433"
2,"NCT04276987","A Pilot Clinical Study on Inhalation of Mesenchymal Stem Cells Exosomes Treating Severe Novel Coronavirus Pneumonia",,"Completed","No Results Available","Coronavirus","Biological: MSCs-derived exosomes","Adverse reaction (AE) and severe adverse reaction (SAE)|Time to clinical improvement (TTIC)|Number of patients weaning from mechanical ventilation|Duration (days) of ICU monitoring|Duration (days) of vasoactive agents usage|Duration (days) of mechanical ventilation supply|Number of patients with improved organ failure|Rate of mortality","Ruijin Hospital|Shanghai Public Health Clinical Center|Wuhan Jinyintan Hospital, Wuhan, China|Cellular Biomedicine Group Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","24","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MEXCOVID","February 15, 2020","May 31, 2020","July 31, 2020","February 19, 2020",,"September 7, 2020","Ruijin Hospital Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04276987"
3,"NCT04356300","Exosome of Mesenchymal Stem Cells for Multiple Organ Dysfuntion Syndrome After Surgical Repaire of Acute Type A Aortic Dissection",,"Not yet recruiting","No Results Available","Multiple Organ Failure","Biological: Exosome of MSC","survival after intervention|sequential organ failure assessment score|interleukin-6|The number of allergic reactions|The number of people who get cancer|the effects on kidney function|the effects on liver function|the effects on lung function|the effects on coagulation function|the effects on central nervous system","Fujian Medical University","All","20 Years to 80 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2020005","September 1, 2020","September 1, 2021","September 1, 2030","April 22, 2020",,"May 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04356300"
4,"NCT02565264","Effect of Plasma Derived Exosomes on Cutaneous Wound Healing",,"Unknown status","No Results Available","Ulcer","Other: plasma-derived exosomes","Ulcer size (length, mm)|Ulcer size (width, mm)|Ulcer size (depth, mm)|Pain of cutaneous wounds (Visual Analog Score for pain)","Kumamoto University","All","Child, Adult, Older Adult","Early Phase 1","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2012","September 2015","September 2020","September 2020","October 1, 2015",,"September 9, 2020","Department of Dermatology and Plastic Surgery, Faculty of Life Sciences, Kumamoto University, Kumamoto, Japan",,"https://ClinicalTrials.gov/show/NCT02565264"
5,"NCT04969172","A Phase II Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of Exosomes Overexpressing CD24 to Prevent Clinical Deterioration in Patients With Moderate or Severe COVID-19 Infection",,"Active, not recruiting","No Results Available","COVID-19 Disease","Drug: Exosomes overexpressing CD24","To evaluate the safety of EXO-CD24 in the treatment of patients with moderate or severe COVID-19 disease|To assess the efficacy of EXO-CD24 in the clinical improvement of COVID-19 disease|To evaluate respiratory failure (defined as the need for mechanical ventilation, ECMO, non-invasive ventilation, or high-flow oxygen devices) rate.|To evaluate the death rate.|To evaluate time to improvement and recovery (COVID-19 clinical severity score of 3 or lower).|To evaluate time from hospitalization to hospital discharge.|To assess the COVID-19-related symptoms using patient-reported outcome measure (PRO) score.|To evaluate the effect of EXO-CD24 on the respiratory rate.|To evaluate the effect of EXO-CD24 on the change in blood oxygen saturation (SpO2).|To evaluate the effect of EXO-CD24 on the proportion of patients requiring ventilation.|To evaluate the effect of EXO-CD24 on the level of inflammatory markers (eg, CRP, ferritin, fibrinogen, di-dimers, IL-6, LDH, lymphocytes count.","Eli Sprecher, MD|OBCTCD24 Ltd|Tel-Aviv Sourasky Medical Center","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","155","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","0206-21-TLV","July 11, 2021","July 11, 2022","July 11, 2022","July 20, 2021",,"July 20, 2021","Tel-Aviv Sourasky Medical Center, Tel-Aviv, Israel",,"https://ClinicalTrials.gov/show/NCT04969172"
6,"NCT04202783","The Use of Exosomes In Craniofacial Neuralgia",,"Suspended","No Results Available","Neuralgia","Other: Exosomes","Brief Pain Inventory (BPI)|Patient Health Questionnaire (PHQ-9)|Adverse Event Reporting|Global Rating of Change (GRC)","Neurological Associates of West Los Angeles","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ICSS-2019-019","December 1, 2021","December 1, 2022","December 1, 2023","December 18, 2019",,"March 5, 2021","Neurological Associates of West LA, Santa Monica, California, United States",,"https://ClinicalTrials.gov/show/NCT04202783"
7,"NCT04544215","A Clinical Study of Mesenchymal Progenitor Cell Exosomes Nebulizer for the Treatment of Pulmonary Infection",,"Recruiting","No Results Available","Drug-resistant","Biological: Dosage 1 of MPCs-derived exosomes|Biological: Dosage 2 of MPCs-derived exosomes|Biological: No MPCs-derived exosomes","Primary Outcome Measures:|1.Bacterial clearance rate on the 8th d;|2.Mortality on the 28th and 90th d;|3.Recurrence rate after cure within 28 d;|4.Secondary infection rate of other pathogenic bacteria after cure within 28 d;|5.Duration of mechanical ventilation within 28 d;|6.Length of ICU stay (d) within 28 d;|7.Incidence of adverse reactions at the end of treatment and 28 d after initial treatment.","Ruijin Hospital|Cellular Biomedicine Group Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","60","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","MEXDR","July 1, 2020","May 2023","July 2023","September 10, 2020",,"September 10, 2020","Ruijin Hospital Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04544215"
8,"NCT04202770","Focused Ultrasound and Exosomes to Treat Depression, Anxiety, and Dementias",,"Suspended","No Results Available","Refractory Depression|Anxiety Disorders|Neurodegenerative Diseases","Other: Exosomes","[trMDD] Beck Depression Inventory (BDI-II)|[Anxiety] Beck Anxiety Inventory (BAI)|[Dementia] Quick Dementia Rating Scale (QDRS)|[ALL] Global Rating of Change (GRC)|[trMDD] Patient Depression Questionnaire (PDQ-9)|[trMDD] Hamilton Depression Rating Scale (HAM-D)|[Anxiety] Hamilton Anxiety Rating Scale (HAM-A)|[Dementia] Repeatable Battery Assessment of Neuropsychological Status (RBANS) versions A-D|[Dementia] Montreal Cognitive Assessment (MoCA) versions 7.1-7.3","Neurological Associates of West Los Angeles","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ICSS-2018-018","December 1, 2019","December 2023","December 2024","December 18, 2019",,"March 5, 2021","Neurological Associates of West Los Angeles, Santa Monica, California, United States",,"https://ClinicalTrials.gov/show/NCT04202770"
9,"NCT04849429","Intra-discal Injection of Platelet-rich Plasma (PRP) Enriched With Exosomes in Chronic Low Back Pain",,"Recruiting","No Results Available","Chronic Low Back Pain|Degenerative Disc Disease","Biological: Platelet rich plasma (PRP) with exosomes","Visual analog scale (VAS)|Roland Morris Disability Questionnaire (RDQ)|SF 36 health questionnaire|Functional rating index|MRI","Dr. Himanshu Bansal Foundation","All","18 Years to 60 Years   (Adult)","Phase 1","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HB/CLINICALTRIAL/01/2021","April 15, 2021","March 15, 2022","March 15, 2022","April 19, 2021",,"April 19, 2021","Anupam Hospital, Rudrapur, Uttarakhand, India|Mother Cell Spinal Injury and Stem Cell Research, Anupam Hospital, Rudrapur, Uttarakhand, India",,"https://ClinicalTrials.gov/show/NCT04849429"
10,"NCT05060107","Intra-articular Injection of MSC-derived Exosomes in Knee Osteoarthritis (ExoOA-1)","ExoOA-1","Not yet recruiting","No Results Available","Osteoarthritis, Knee","Biological: Exosomes (sEVs)","Adverse Event|Incidence of injection-related pain according to VAS scale (0-100mm)|Incidence of injection-related sinovitis according to effusion grading scale of knee joint|Pain reduction|Disability reduction|Percentage of responders","Francisco Espinoza|Universidad de los Andes, Chile","All","30 Years to 70 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C4C060921","October 5, 2021","April 5, 2023","October 5, 2023","September 28, 2021",,"September 28, 2021",,,"https://ClinicalTrials.gov/show/NCT05060107"
